,Company,Test R2,Test MSE,Sector,Highest Difference,Highest Difference Percentage,Average Difference,Average Difference Percentage,Model,Evaluation
0,ADMG,0.996451874990284,58.41517391286906,Basic Materials,150.1777370021548,36.44702750191336,-0.141355045120675,-0.056605185641656376,Random Forest,Inter-Sector
0,AGII,0.9952554478369339,1572.6110773553962,Basic Materials,411.5903428586446,25.328636483608896,-2.8128329910719674,-0.3172624891118625,Random Forest,Inter-Sector
0,AKPI,0.9946249142179903,485.82946450875164,Basic Materials,236.5903428586446,25.371284352926242,0.5280719616169678,0.04182994003246507,Random Forest,Inter-Sector
0,ALDO,0.986067549821903,657.8794885635746,Basic Materials,479.8188461329596,22.768190435741626,0.6544509510758207,0.11769473906883138,Random Forest,Inter-Sector
0,ALKA,0.9905120089883255,196.3641638303135,Basic Materials,173.51687325452167,33.517118611939125,-0.3480649058247587,-0.2392574291139165,Random Forest,Inter-Sector
0,ALMI,0.9939084283739593,108.4010705026422,Basic Materials,120.40140056383063,27.896129454484626,0.23976820076431538,0.040421253034463464,Random Forest,Inter-Sector
0,AMMN,0.9912867674494097,38657.336500139034,Basic Materials,516.579424265371,12.021325120020226,44.690126271088154,0.8106455040752618,Random Forest,Inter-Sector
0,ANTM,0.9984782469748557,1024.8556670053965,Basic Materials,278.41960649468956,18.266254550816083,0.150199004113016,-0.11677309381838614,Random Forest,Inter-Sector
0,APLI,0.9964266282211774,35.60907618303136,Basic Materials,99.52901198297786,27.947658794352936,0.24680141956781243,-0.038699242940999024,Random Forest,Inter-Sector
0,ARCI,0.9877366531798949,140.41584265572675,Basic Materials,51.96320986324045,17.67456117797294,-0.9231895569231756,-0.1425178198837426,Random Forest,Inter-Sector
0,AVIA,0.9845325944902485,269.7763132087881,Basic Materials,75.96297030568684,15.192594061137369,-1.7893772712220375,-0.3066076793515962,Random Forest,Inter-Sector
0,AYLS,0.9886150731314209,80.45521139100158,Basic Materials,81.96320986324045,30.33485813410619,-0.39257494906264007,-0.392878002069591,Random Forest,Inter-Sector
0,BAJA,0.998768122892981,101.13785154099001,Basic Materials,100.15986514548877,28.041750441928347,0.13070079772706955,-0.1043282377854474,Random Forest,Inter-Sector
0,BEBS,0.9943125026851642,822.6895744392158,Basic Materials,193.14020737301382,22.858410812373158,0.5255345564351356,-0.16943238542819353,Random Forest,Inter-Sector
0,BMSR,0.9954652237109094,101.66984148595165,Basic Materials,165.30363323423262,40.77889763919419,-0.16030162588778749,-0.1749173842959591,Random Forest,Inter-Sector
0,BRMS,0.9993920243280288,18.360201677923772,Basic Materials,43.70650542353292,24.66515450255175,-0.5211241076003967,-0.15267201774285494,Random Forest,Inter-Sector
0,BRNA,0.998373882246462,309.7880590857132,Basic Materials,291.2250760441941,22.14639361552807,1.978249771679073,0.16731364508453175,Random Forest,Inter-Sector
0,BRPT,0.9981993678798271,268.6372912556783,Basic Materials,190.23026923423254,19.945438064786327,-1.543821116654344,-16.775545372834763,Random Forest,Inter-Sector
0,BTON,0.9972983958092871,39.433636909092805,Basic Materials,64.5231429234255,28.163339783841852,0.15042990671950293,-0.2179360931994388,Random Forest,Inter-Sector
0,CHEM,0.9221502589560285,39.975641176560536,Basic Materials,41.929407388955866,27.791155895866833,-0.09397952939052451,-0.16682015614395174,Random Forest,Inter-Sector
0,CITA,0.9981369081032319,1673.301725439565,Basic Materials,727.8251306477459,24.77633521988239,3.294964623347918,0.19500823029961967,Random Forest,Inter-Sector
0,CLPI,0.9990780224769563,180.25661394553993,Basic Materials,178.4850384408204,19.831670937868935,-0.4009863877815279,-0.05396211767429741,Random Forest,Inter-Sector
0,CMNT,0.9619940265943503,403.7336324021349,Basic Materials,148.41806447156569,17.46094876136067,2.1965351806121625,0.21179858722723574,Random Forest,Inter-Sector
0,CTBN,0.9982889291474447,4392.5321294157075,Basic Materials,792.3339720565282,21.258095661607022,-6.015787088229288,-0.1714082120469401,Random Forest,Inter-Sector
0,DKFT,0.9988446414990246,26.954902191083896,Basic Materials,63.72023807621662,24.063512983236787,0.33510876926201416,0.3682171980764888,Random Forest,Inter-Sector
0,DPNS,0.9887363200760874,107.02324507840063,Basic Materials,168.38877485386342,32.79388921892849,0.41229105844583,0.07248719802690352,Random Forest,Inter-Sector
0,EKAD,0.9994023912839634,4.818765093260172,Basic Materials,20.346975725016904,30.091047911709733,-0.2680238876879901,-0.25979558139033615,Random Forest,Inter-Sector
0,EPAC,0.9917466805010213,56.99695166818246,Basic Materials,67.82507780948157,24.94677290849149,-2.8224768975161063,-29.787356511520475,Random Forest,Inter-Sector
0,ESIP,0.9818731100742897,66.31561327261666,Basic Materials,94.55579168317934,23.876917723249086,-0.4309050097792727,-0.3522854206437247,Random Forest,Inter-Sector
0,ESSA,0.9956557441904808,288.8136455810096,Basic Materials,242.00631531599663,24.992667697826484,-0.6110246714941686,-0.12726532854244293,Random Forest,Inter-Sector
