,Company,Test R2,Test MSE,Sector,Highest Difference,Highest Difference Percentage,Average Difference,Average Difference Percentage,Model,Evaluation
0,ADMG,0.996449219527629,58.458892584671034,Basic Materials,142.34805767510704,36.85366382760738,-0.49439453738722866,-0.20512113740708257,Multiple Linear Regression,Inter-Sector
0,AGII,0.9956447808572225,1443.564246496972,Basic Materials,395.63760403395577,24.346929479012662,-2.0781719990603897,-0.24518803699472183,Multiple Linear Regression,Inter-Sector
0,AKPI,0.9947327982213335,476.07832197838576,Basic Materials,230.16768968290717,25.397831131717695,0.6287649209865119,0.0665575928315794,Multiple Linear Regression,Inter-Sector
0,ALDO,0.9860772003207736,657.423799493799,Basic Materials,470.2988183959708,22.855441557833682,-0.05834148133294295,-0.0748310075733731,Multiple Linear Regression,Inter-Sector
0,ALKA,0.990640469822473,193.70552890419538,Basic Materials,169.73087679606112,31.830089523871504,-0.11844453392079582,-0.05732966461997857,Multiple Linear Regression,Inter-Sector
0,ALMI,0.9940403392703419,106.05368246279696,Basic Materials,120.64065461980107,27.94066073595809,0.5393401595287588,0.15882988680940607,Multiple Linear Regression,Inter-Sector
0,AMMN,0.9915092823610616,37670.121506612435,Basic Materials,514.7333640229208,11.81215559710378,38.07728430907494,0.6948316795554528,Multiple Linear Regression,Inter-Sector
0,ANTM,0.9986436585502433,913.4558618969518,Basic Materials,248.98550444584635,15.822709056475984,-8.421264756505355,-0.8073195815487788,Multiple Linear Regression,Inter-Sector
0,APLI,0.996415557619561,35.71939604918359,Basic Materials,98.04658092334205,28.580637268814062,0.42609278879471013,0.4296092717072386,Multiple Linear Regression,Inter-Sector
0,ARCI,0.9883161715025237,133.78033321445804,Basic Materials,51.51973276157901,17.523718626387417,-2.136636662083563,-0.4480314111206556,Multiple Linear Regression,Inter-Sector
0,AVIA,0.9844887753906616,270.5405884537378,Basic Materials,51.89826538878583,8.896942289858817,-4.059605161509491,-0.629390487613336,Multiple Linear Regression,Inter-Sector
0,AYLS,0.98707925807515,91.30853758590132,Basic Materials,63.72188766302713,18.000533238143255,-1.9064382647246518,-1.4916694173970897,Multiple Linear Regression,Inter-Sector
0,BAJA,0.9988663535289714,93.07305723402385,Basic Materials,98.18284960223036,25.70658768462456,-0.10232228044721924,-0.21350332195216062,Multiple Linear Regression,Inter-Sector
0,BEBS,0.9928660183697753,1031.9217727131752,Basic Materials,156.29045240465075,15.628427848502177,-10.814819021289862,-2.9045732840864864,Multiple Linear Regression,Inter-Sector
0,BMSR,0.9954921553120761,101.0660340548823,Basic Materials,169.09304352619563,41.10302306193383,-0.05661028671483301,-0.05671902697549404,Multiple Linear Regression,Inter-Sector
0,BRMS,0.9933735461189304,200.11167432314824,Basic Materials,37.90938134320663,18.004373874700715,-8.558014916101369,-9.187818242149921,Multiple Linear Regression,Inter-Sector
0,BRNA,0.9984593759789037,293.5008391845195,Basic Materials,300.20487365864074,22.829267958831995,1.742877751433354,0.189196853465064,Multiple Linear Regression,Inter-Sector
0,BRPT,0.9975401737713084,366.9828209950656,Basic Materials,167.83337874086715,24.875534720932205,-7.718341843074178,-7.863721412606724,Multiple Linear Regression,Inter-Sector
0,BTON,0.9973602348143346,38.53101139487358,Basic Materials,63.9866264263174,28.001830914986698,0.2889151289962811,0.07274526827726581,Multiple Linear Regression,Inter-Sector
0,CHEM,0.9060054996610089,48.265933421657536,Basic Materials,17.391739474214575,21.739674342768218,-3.265372374493557,-2.622929289089319,Multiple Linear Regression,Inter-Sector
0,CITA,0.9982722947847137,1551.7066671828677,Basic Materials,710.4892596220407,24.66314346375658,1.8386618278289875,0.08707602931464142,Multiple Linear Regression,Inter-Sector
0,CLPI,0.9992037568769159,155.6741738895617,Basic Materials,180.14581924631625,20.01620213847958,0.00938013883331692,-0.017431021861457955,Multiple Linear Regression,Inter-Sector
0,CMNT,0.9644821966897467,377.30205176803895,Basic Materials,140.75158947104194,16.559010526004933,-2.4584912654819546,-0.2655645393815991,Multiple Linear Regression,Inter-Sector
0,CTBN,0.9985045776887076,3838.935447697764,Basic Materials,800.6273659083886,20.628867825347367,-0.10285692172216178,0.012619610613540905,Multiple Linear Regression,Inter-Sector
0,DKFT,0.9986516641946723,31.45712756920374,Basic Materials,59.62048256830087,19.419157913770942,-1.0517889379398087,-0.6297559903259897,Multiple Linear Regression,Inter-Sector
0,DPNS,0.9891258882403287,103.32171508127865,Basic Materials,169.9650957565841,33.34644723896187,0.5813067005793666,0.11547233042133638,Multiple Linear Regression,Inter-Sector
0,EKAD,0.9990199497725938,7.902548438027641,Basic Materials,17.199205248804276,11.46674394346997,-0.47602209057426703,-0.7696116360987966,Multiple Linear Regression,Inter-Sector
0,EPAC,0.9951712041072412,33.347387817610525,Basic Materials,64.21829287480165,18.889816015026604,-0.9761548002582049,-1.3407782552056746,Multiple Linear Regression,Inter-Sector
0,ESIP,0.9781220662653791,80.03847315756227,Basic Materials,90.59535575231757,16.96456342771767,-2.0756066324709006,-2.0552845900765426,Multiple Linear Regression,Inter-Sector
0,ESSA,0.9958407438598428,276.5145473504994,Basic Materials,211.52320765742593,20.323359788358538,-2.7204661333265023,-0.6415458196434276,Multiple Linear Regression,Inter-Sector
0,ETWA,0.9961776970354603,50.03723630773434,Basic Materials,80.80364467525038,34.45768405281131,-0.02294202489505283,-0.058750276546314366,Multiple Linear Regression,Inter-Sector
0,FASW,0.9994963013334868,3287.0850987185013,Basic Materials,1126.2180295817107,15.066461934203486,1.523000966578461,0.10243353324662702,Multiple Linear Regression,Inter-Sector
0,FPNI,0.9925789571139761,75.59145282005561,Basic Materials,117.39369294851065,31.02399192001043,-0.2409899846570848,-0.12067654840435321,Multiple Linear Regression,Inter-Sector
0,FWCT,0.9491619144411195,38.797894577561564,Basic Materials,17.0037559503983,11.890738426851959,-2.352701167702645,-2.7429631626322553,Multiple Linear Regression,Inter-Sector
0,GDST,0.9836339242743584,20.080427005505825,Basic Materials,44.00271235501751,23.76549043969934,-0.6197802846120892,-0.5271609736286209,Multiple Linear Regression,Inter-Sector
0,GGRP,0.9816376533167461,341.3658791377603,Basic Materials,98.05960413088081,23.34752479306686,-1.0527298440229527,-0.277634647298912,Multiple Linear Regression,Inter-Sector
0,HKMU,0.9963981179748003,52.39913174576857,Basic Materials,78.05499828344603,29.124999359494787,-2.449374372276979,-2.9459732863675443,Multiple Linear Regression,Inter-Sector
0,IFII,0.8606855229347173,59.612485965834104,Basic Materials,48.8647519653685,24.850009933753462,0.18671842064008431,0.206925942815874,Multiple Linear Regression,Inter-Sector
0,IFSH,0.9873009898902053,2190.0625725403056,Basic Materials,450.33530744803966,24.106265003860923,1.773656595927027,0.16414620118047601,Multiple Linear Regression,Inter-Sector
0,IGAR,0.9978827639642456,54.15449879496908,Basic Materials,111.02284673575843,22.32601342980155,-0.2210944759550615,-0.10119334768135677,Multiple Linear Regression,Inter-Sector
0,INAI,0.9980512662346548,35.98100386047285,Basic Materials,72.06834807909354,33.5866027602742,0.0239474294975592,0.020705733966814542,Multiple Linear Regression,Inter-Sector
0,INCF,0.9999314756907269,115.52052723347113,Basic Materials,140.06636798654927,34.09138256496157,-0.07276330171252675,-0.4033150772207996,Multiple Linear Regression,Inter-Sector
0,INCI,0.9966990199805295,96.59235301900766,Basic Materials,108.63059109502535,24.553570344476665,0.6266946158020584,0.19301930754896415,Multiple Linear Regression,Inter-Sector
0,INCO,0.9967194584248081,9114.475763510285,Basic Materials,910.3054470610805,22.423763622388794,-6.231469869020486,-0.18057461532568866,Multiple Linear Regression,Inter-Sector
0,INKP,0.9982846904937493,27779.861926146496,Basic Materials,1950.4904152656236,21.82723785569574,-3.9652223399406497,-0.18222702252571624,Multiple Linear Regression,Inter-Sector
0,INRU,0.9953758934183473,480.83606575399347,Basic Materials,225.15832586064994,30.013563525094966,1.2490975857716469,0.13581363983793204,Multiple Linear Regression,Inter-Sector
0,INTD,0.9886872789857885,123.77580798355676,Basic Materials,195.10190820665468,33.34552577926095,0.22745009199472146,0.016027183213506956,Multiple Linear Regression,Inter-Sector
0,INTP,0.9987788129267009,68826.81269386668,Basic Materials,2253.692798914548,18.36237427776312,0.32106791352222563,0.011655500071950545,Multiple Linear Regression,Inter-Sector
0,IPOL,0.9931641344839189,11.837076186701053,Basic Materials,32.0808474979937,21.676248309455204,-0.6910759621466127,-0.4708678638241617,Multiple Linear Regression,Inter-Sector
0,ISSP,0.9929408077859274,41.966105606991135,Basic Materials,46.28631460575889,20.571695380337285,-2.1764846764763357,-1.175015257411474,Multiple Linear Regression,Inter-Sector
0,JKSW,0.9913234273997417,35.69281255187732,Basic Materials,119.6063048846878,33.326017448360176,0.1637349777819332,0.052402124075940186,Multiple Linear Regression,Inter-Sector
