,Company,Test R2,Test MSE
0,ADMG,0.996451874990284,58.41517391286906
0,AGII,0.9952554478369339,1572.6110773553962
0,AKPI,0.9946249142179903,485.82946450875164
0,ALDO,0.986067549821903,657.8794885635746
0,ALKA,0.9905120089883255,196.3641638303135
0,ALMI,0.9939084283739593,108.4010705026422
0,AMMN,0.9912867674494097,38657.336500139034
0,ANTM,0.9984782469748557,1024.8556670053965
0,APLI,0.9964266282211774,35.60907618303136
0,ARCI,0.9877366531798949,140.41584265572675
0,AVIA,0.9845325944902485,269.7763132087881
0,AYLS,0.9886150731314209,80.45521139100158
0,BAJA,0.998768122892981,101.13785154099001
0,BEBS,0.9943125026851642,822.6895744392158
0,BMSR,0.9954652237109094,101.66984148595165
0,BRMS,0.9993920243280288,18.360201677923772
0,BRNA,0.998373882246462,309.7880590857132
0,BRPT,0.9981993678798271,268.6372912556783
0,BTON,0.9972983958092871,39.433636909092805
0,CHEM,0.9221502589560285,39.975641176560536
0,CITA,0.9981369081032319,1673.301725439565
0,CLPI,0.9990780224769563,180.25661394553993
0,CMNT,0.9619940265943503,403.7336324021349
0,CTBN,0.9982889291474447,4392.5321294157075
0,DKFT,0.9988446414990246,26.954902191083896
0,DPNS,0.9887363200760874,107.02324507840063
0,EKAD,0.9994023912839634,4.818765093260172
0,EPAC,0.9917466805010213,56.99695166818246
0,ESIP,0.9818731100742897,66.31561327261666
0,ESSA,0.9956557441904808,288.8136455810096
0,ETWA,0.9959566364293673,52.93110994570305
0,FASW,0.9994652428353545,3489.7696265650766
0,FPNI,0.9926922619122646,74.437319304639
0,FWCT,0.9629447802157242,28.279281073116096
0,GDST,0.9845509774329207,18.955244688169486
0,GGRP,0.9812263316104163,349.0125703974231
0,HKMU,0.9983227890486068,24.39957694134155
0,IFII,0.8692154270168788,55.96255095477646
0,IFSH,0.9874039961419042,2172.2981850303345
0,IGAR,0.9977589816464884,57.32059329960858
0,INAI,0.9980246410516916,36.47260554974398
0,INCF,0.9992137268505477,1325.5250543620261
0,INCI,0.9965015577153998,102.37043852962445
0,INCO,0.9964717423531071,9802.716433533942
0,INKP,0.9979432694084436,33309.26089112011
0,INRU,0.9952399129599002,494.9759449943534
0,INTD,0.9886314341307771,124.3868229676681
0,INTP,0.953091987641591,2643762.8198207673
0,IPOL,0.9945224796672062,9.484947493621123
0,ISSP,0.9930971194759644,41.036850149317196
0,JKSW,0.9912049480813436,36.18020086725104
0,KAYU,0.9897608297021417,158.36672144282048
0,KBRI,0.9987361716461285,40.542072888829
0,KDSI,0.9979180557021895,314.01416887665255
0,KKES,0.9921772981461457,12.582193592807275
0,KMTR,0.9691895930960474,253.08435603806683
0,KRAS,0.9973383021980282,127.00945564108633
0,LMSH,0.9965434263003233,273.22076557644675
0,LTLS,0.9983565563113159,146.98585408054964
0,MBMA,0.9619225069612085,472.17857889624935
0,MDKA,0.9979482664447241,4178.9119130124345
0,MDKI,0.96067915030519,42.905710029581726
0,MOLI,0.993528898545276,548.6148057348868
0,NCKL,0.9158625877544468,1099.8993824669624
0,NICE,0.9147266548272444,3947.073165520669
0,NICL,0.9892067846743626,72.51611882002999
0,NIKL,0.9958818913683138,6508.843847103808
0,NPGF,0.9775037951927741,22.377470565800532
0,OBMD,0.979751435449601,103.45142769524608
0,OKAS,0.9728882800580206,565000.1858793383
0,OPMS,0.9918875668236611,193.39993392536815
0,PACK,0.9874807621842515,64.1511956755371
0,PBID,0.9949174052099813,518.3286419490685
0,PDPP,0.9949602208900542,56.6310799369672
0,PICO,0.99297063793404,1494.3721132734572
0,PPRI,-0.3205237439112085,88.73653550933112
0,PSAB,0.9918175579116807,75.16620316348224
0,PURE,0.9896402637263857,215.15986932368523
0,SAMF,0.982904275208459,1214.1165459264903
0,SBMA,0.9830114434671696,156.50033894916112
0,SIMA,0.9920340613402213,93.90922730193084
0,SMBR,0.9974894485160376,2623.383631804904
0,SMCB,0.9986394990412811,855.3149797302093
