,Company,Test R2,Test MSE,Sector,Highest Difference,Highest Difference Percentage,Average Difference,Average Difference Percentage,Model,Evaluation
0,ABDA,0.9994877794646259,4893.554201148017,Financials,1451.1997394352738,29.835288616248352,2.483738745207341,0.1463389243925238,Multiple Linear Regression,Intra-Sector
0,ADMF,0.9995636310553115,4822.212071973358,Financials,1301.957566404808,19.208278266920306,2.338845706975379,0.04612385420924545,Multiple Linear Regression,Intra-Sector
0,AGRO,0.9971650155842486,419.2028832446487,Financials,267.93436403000055,18.572519680694683,-2.8294453376948967,-0.58992336272949,Multiple Linear Regression,Intra-Sector
0,AGRS,0.985650128068675,101.12732834593932,Financials,129.2739387962108,25.359028547051548,-1.1172887117408599,-0.8132221848755651,Multiple Linear Regression,Intra-Sector
0,AHAP,0.9765231344597793,10.990691894247023,Financials,27.351372565936202,28.901519950792597,-0.46702164066614077,-0.7288147271589615,Multiple Linear Regression,Intra-Sector
0,AMAG,0.9964062517160873,47.90773914791139,Financials,76.05040875215437,28.133362700525822,0.09667726001194563,0.0022731098463541245,Multiple Linear Regression,Intra-Sector
0,AMAR,0.9387788315336496,318.78048796468744,Financials,145.15654278070497,24.21472287556114,-1.9384503475435855,-0.7128472405791227,Multiple Linear Regression,Intra-Sector
0,AMOR,0.9898884221755951,1164.1968531624873,Financials,175.103003802717,13.733568925703295,-1.5995869696754468,-0.12507593741472736,Multiple Linear Regression,Intra-Sector
0,APIC,0.9987232277582458,186.57876316787767,Financials,192.8124796273883,33.346698256018485,-0.24055423367182363,-0.034302713722122125,Multiple Linear Regression,Intra-Sector
0,ARTO,0.9983172032350764,42076.1168352359,Financials,1412.0641850185439,23.367793785304656,-4.227523807117559,-0.42910189751379907,Multiple Linear Regression,Intra-Sector
0,ASBI,0.9942266797242744,108.7888370331941,Financials,130.1369311673218,25.821437531876533,0.40812881009949803,0.07538249218934652,Multiple Linear Regression,Intra-Sector
0,ASDM,0.9990423539304113,31.85556642562327,Financials,120.09155433733736,25.008657455858724,0.2863373455345925,0.09367062057611374,Multiple Linear Regression,Intra-Sector
0,ASJT,0.9823556856212585,160.8456152625684,Financials,187.64545127583415,99.70436080729604,-0.05014144521526688,-1.1324732783009879,Multiple Linear Regression,Intra-Sector
0,ASMI,0.9988580821287578,162.14832540660174,Financials,190.20836435884303,27.442218532782768,-0.019128739468252328,-0.2741588739796053,Multiple Linear Regression,Intra-Sector
0,ASRM,0.9990206464876942,227.75418504329883,Financials,345.331850186514,22.56876500784502,1.3863342696731125,0.1111136484018518,Multiple Linear Regression,Intra-Sector
0,BABP,0.9765562401006777,34.65939941617954,Financials,36.21710800933009,36.36786192710248,-1.6433587919258783,-1.48493864149519,Multiple Linear Regression,Intra-Sector
0,BACA,0.9940159685893255,67.03188908525303,Financials,161.0248758126849,24.586634808062126,-0.6366890824328442,-0.31018165069810716,Multiple Linear Regression,Intra-Sector
0,BANK,0.9908058124392082,3931.231372953484,Financials,281.15941755474773,18.336041246520026,-6.0001519749531855,-0.3671271394689225,Multiple Linear Regression,Intra-Sector
0,BBCA,0.9995970407027085,3094.5716052293774,Financials,593.9569176373798,11.249184046162496,-9.181049723229686,-1.0853846813723134,Multiple Linear Regression,Intra-Sector
0,BBHI,0.9974740201380582,5252.092601080963,Financials,1097.0962475730366,20.44101037934457,-2.5767440166681874,-2.172654320002561,Multiple Linear Regression,Intra-Sector
0,BBKP,0.9955794338158604,87.75005706230475,Financials,69.83541367459856,25.681192557646824,-4.048374141896515,-2.0429838260149693,Multiple Linear Regression,Intra-Sector
0,BBLD,0.9976350392528196,284.0868690306683,Financials,510.16222706225744,35.41509572015353,0.7479009532651408,0.166434563569827,Multiple Linear Regression,Intra-Sector
0,BBMD,0.9930269334162048,614.9934710265006,Financials,510.4414869818961,19.511709027110044,2.2763523465543445,0.1273736145136485,Multiple Linear Regression,Intra-Sector
0,BBNI,0.9990072157989297,2011.6835728449691,Financials,328.836609868672,12.365112870694192,-5.799515477570139,-0.34757341152627147,Multiple Linear Regression,Intra-Sector
